,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
1905,MKR,2,57.0,1.0,4.369541182974019,11,0.0,0.00016018506590663353,7.351185368758497e-05
1906,MKS,2,108.0,1.0,4.432283029297954,12,0.0,0.0003443417190869515,6.357837691921077e-05
1907,MKU,1,19.0,0.0,4.503316749585406,12,0.0,0.00026669242052590193,4.265268870872423e-05
1908,MKY,4,6369.0,0.3333333333333333,4.334715312327253,10,0.00010742453379414332,0.00021281347934880139,0.00026184697225668135
1909,MKZ,1,250.0,0.0,4.990602542841349,12,0.0,2.0678427622615958e-05,4.903365557126775e-05
1910,MLA,46,23660.0,0.514975845410628,3.371475953565506,11,0.0008836218738501361,0.06577433652243048,0.00035926060500699304
1911,MLB,4,8386.0,1.0,3.6788280818131565,12,0.0,0.007819424483335695,9.603801082271942e-05
1912,MLE,17,15368.0,0.39705882352941174,3.4477611940298507,10,0.002283190384684974,0.02206167331713624,0.0003762715931431874
1913,MLI,10,15189.0,0.8666666666666667,3.6901603095632947,12,2.0221073546077494e-06,0.012426187537205455,0.00014491348884880073
1914,MLL,2,226.0,1.0,5.192647871752349,13,0.0,5.372750193875554e-06,0.00012310817644709262
1915,MLM,15,12741.5,0.4380952380952381,3.6141514648977338,11,0.0007008918236675616,0.00891005131066175,0.00021261583217757214
1916,MLO,1,126.0,0.0,4.042564953012715,11,0.0,0.0015390036937249039,4.3259684867752144e-05
1917,MLS,2,431.5,0.0,4.900497512437811,13,0.0002274179078379118,8.507898527712841e-05,0.0001123769529342304
1918,MLU,12,8309.0,0.5454545454545454,3.854063018242123,12,4.083293512485975e-05,0.008433167420471076,0.00011698923280268162
1919,MLW,7,2675.0,0.5714285714285714,3.4953012714206744,11,6.035562359643527e-05,0.0078042487731633005,9.882651271272867e-05
1920,MLX,2,1386.0,1.0,3.9773355444997236,12,0.0,0.0025183976643220777,6.639480717076138e-05
1921,MLY,2,15.0,1.0,4.894969596462134,13,0.0,2.6278760792261612e-05,7.364537147238205e-05
1922,MMA,11,28568.0,0.45454545454545453,3.572415699281371,11,8.19496362360143e-05,0.013047964483051925,0.0003883623828474792
1923,MMB,4,15982.0,0.8333333333333334,3.7747374239911555,11,6.50706586665502e-09,0.002833328856614691,0.00016547617345482875
1924,MMD,2,259.0,1.0,4.64538419016031,12,0.0,0.0001354854619488166,7.402934476277202e-05
1925,MME,5,6087.5,0.9,3.6072415699281373,11,4.210188572792028e-07,0.0084276714909854,0.00010004535072290541
1926,MMG,1,64.0,0.0,4.369817578772802,11,0.0,0.00015734023019594687,4.327010103767465e-05
1927,MMJ,4,2958.0,1.0,3.91044776119403,11,0.0,0.0013734396982669228,6.387826714144902e-05
1928,MMK,5,2616.0,0.3,3.861249309010503,11,0.0004433336827254689,0.0031295218417204894,0.00010589079991240303
1929,MMO,1,168.0,0.0,5.305417357656164,13,0.0,1.4111276389931503e-05,5.438643769932705e-05
1930,MMP,2,94.5,1.0,4.997236042012162,13,0.0,4.981173617468662e-05,5.827979246416901e-05
1931,MMY,5,15799.0,0.7,3.7725262576008847,11,0.0002460809715629205,0.0024366463595560527,0.00021305880614549307
1932,MNB,2,84.0,1.0,5.728579325594251,13,0.0,2.147592625693763e-06,0.00013282406274733256
1933,MNF,1,919.0,0.0,4.425096738529574,11,0.0,0.00010424481971188405,8.554968900628165e-05
1934,MNG,4,665.0,0.5,4.766721945826424,11,0.0011735454876595586,5.2991164002171186e-05,0.00021472919209536496
1935,MNJ,3,231.0,0.3333333333333333,4.585129906025428,12,0.000276163833845908,0.00010681868143771313,0.00014972836693595497
1936,MNL,67,200387.0,0.11216644052464948,3.1199557766721946,9,0.034735584716954836,0.0242599872293847,0.0034381392935864253
1937,MNR,2,42.0,1.0,4.970978441127695,12,0.0,3.770467749695645e-05,5.599376440683295e-05
1938,MNS,1,21.0,0.0,5.00718629076838,12,0.0,1.8889619479317464e-05,4.500355008893683e-05
1939,MNT,2,15.0,1.0,4.894969596462134,13,0.0,2.6278760792261612e-05,7.364537147238205e-05
1940,MNU,3,349.0,1.0,4.6130458817025985,11,0.0,9.925308191357494e-05,7.472570043005132e-05
1941,MNY,2,19.0,1.0,6.280541735765617,11,0.0,7.99356485981489e-08,7.61389338432728e-05
1942,MOA,1,48.0,0.0,4.5378662244333885,12,0.0,0.0003180162817233527,4.340224889696587e-05
1943,MOB,9,17360.0,0.9444444444444444,3.7086788280818133,12,1.7530904760857428e-07,0.013309979583634774,0.00015604650801781194
1944,MOC,1,600.0,0.0,5.083747927031509,13,0.0,3.0277578406473235e-05,5.0082105416939486e-05
1945,MOD,1,1020.0,0.0,3.9065782200110557,11,0.0,0.0014868617475777093,4.8578185502416984e-05
1946,MOG,2,220.0,1.0,5.609176340519624,12,0.0,3.713776888126781e-06,6.096831697322887e-05
1947,MOI,3,48.0,0.6666666666666666,4.625760088446656,12,7.645802393319649e-08,5.0845233481674314e-05,5.9221514633063135e-05
1948,MOL,4,7979.0,1.0,4.282476506357104,12,0.0,0.00132961764346968,0.0001454531023560652
1949,MON,4,1122.0,0.6666666666666666,4.563294637921504,11,2.9044918710142e-05,9.017978705299848e-05,8.590374210384964e-05
1950,MOQ,6,701.0,0.26666666666666666,4.582918739635158,12,0.0011043762695257446,0.00010886008325938953,0.00022621956684508768
1951,MOT,1,2310.0,0.0,4.046158098396904,12,0.0,0.0013829895028808193,6.0059617441614074e-05
1952,MOU,2,330.0,1.0,5.200939745715865,13,0.0,5.4185381005206335e-06,0.00020128801438095393
1953,MOW,186,217145.0,0.0958442313281023,2.8775566611387506,10,0.05221081227486643,0.11664480153538052,0.005883720925083052
1954,MOZ,4,3672.0,1.0,4.514925373134329,12,0.0,9.306095576363673e-05,0.00030822912300130584
1955,MPA,1,57.0,0.0,4.6083471531232725,12,0.0,0.00013167445528440967,4.355761942056553e-05
1956,MPH,1,980.0,0.0,4.119402985074627,10,0.0,0.00043087892678745054,5.572940400692764e-05
1957,MPK,3,5572.0,1.0,3.8372028745163074,11,0.0,0.001281836542638411,8.968345664937556e-05
1958,MPL,15,25346.5,0.6190476190476191,3.559148700939746,11,3.551527892781001e-05,0.014416717368026064,0.0003132530639334541
1959,MPM,11,7222.5,0.2909090909090909,3.7780541735765616,11,0.0013725140249868245,0.004411501818214623,0.00035581197898525694
1960,MPN,2,724.0,0.0,6.480099502487562,15,0.0011055830260740212,3.3349502252663544e-07,0.00017909995304184653
1961,MPU,2,45.0,1.0,5.7335544499723605,11,0.0,1.1172399154994927e-06,6.278622980173299e-05
1962,MPW,1,144.0,0.0,4.262852404643449,12,0.0,0.0011452770577490144,4.419378625483949e-05
1963,MPY,2,725.0,1.0,4.66113875069099,12,0.0,6.533292717461796e-05,7.236744756267287e-05
1964,MQF,4,1044.0,0.8333333333333334,3.874792703150912,11,8.822079684599596e-08,0.0023761933240231473,6.767837517668473e-05
1965,MQL,2,1769.0,1.0,4.288280818131565,11,0.0,0.00021883161917910448,7.53912725172633e-05
1966,MQM,1,395.0,0.0,4.488391376451078,12,0.0,0.0006132495014127548,5.016097357680043e-05
1967,MQN,6,2294.0,0.5333333333333333,4.894140409065782,12,1.6616877201481368e-06,8.261976477023022e-05,0.00011678306973180133
1968,MQT,5,1959.0,0.6,3.9046434494195688,12,2.04973085627705e-05,0.003970380663409207,7.606111867108731e-05
1969,MQX,3,1550.0,0.0,4.4311774461028195,12,0.000828343682691453,0.00033843859120801753,0.00020971138636800818
1970,MQZ,2,56.0,1.0,4.369541182974019,11,0.0,0.00016018506590663348,7.348719427209247e-05
1971,MRA,2,556.0,1.0,4.655058043117744,12,0.0,0.00033360204220511425,6.36663254211386e-05
1972,MRD,4,4933.0,0.5,4.268380320619126,12,0.00017272948080670594,0.0007813502460899234,0.00014542336377644096
1973,MRE,3,434.0,0.6666666666666666,4.393311221669431,12,1.5291604786639297e-07,0.0004914566875287663,7.614315578160846e-05
1974,MRQ,1,63.0,0.0,4.119402985074627,10,0.0,0.00043087892678745054,4.237672915832263e-05
1975,MRS,47,89135.0,0.2904717853839038,3.484798231066888,11,0.00031941917917091496,0.04169098112588693,0.0011478107210237873
1976,MRU,31,28764.0,0.34623655913978496,3.1981757877280264,10,0.004945935532791113,0.03515710816204267,0.000686115031251648
1977,MRV,17,5600.0,0.38235294117647056,3.8642896627971255,11,2.7581269982575544e-05,0.005266448087439588,0.00018996726383183619
1978,MRY,3,8985.0,1.0,3.718629076838032,11,0.0,0.004580142287738426,0.00010715924113282274
1979,MRZ,4,594.0,0.5,4.183803206191266,10,2.8426139359610374e-05,0.0004858387703188067,8.677378819506842e-05
1980,MSA,3,248.0,0.3333333333333333,5.595909342177999,14,0.000552245748380459,5.961157229294847e-06,0.00019430882507756332
1981,MSH,1,150.0,0.0,5.673023770038696,12,0.0,4.603596361785172e-06,9.173076714931649e-05
1982,MSJ,3,10444.0,1.0,3.775566611387507,11,0.0,0.002410671748762585,0.00012413065327676801
1983,MSL,1,646.0,0.0,5.27363184079602,13,0.0,1.857875526611266e-05,9.557817789133648e-05
1984,MSN,11,27208.0,0.8,3.713653952459923,12,6.034724423449967e-06,0.013746265067979128,0.00023050400353044612
1985,MSO,7,8110.5,0.9047619047619048,3.9151464897733557,12,4.086248815834319e-06,0.0035736054628009136,0.00013369658275515965
1986,MSP,116,520027.0,0.18620689655172415,3.046710889994472,11,0.023671808595476372,0.07783928318715065,0.00494358918019202
1987,MSQ,22,5659.0,0.5238095238095238,3.4917081260364844,11,5.76280433901476e-05,0.02954312948024034,0.00012440609728117075
1988,MSR,1,693.0,0.0,4.488391376451078,12,0.0,0.0006132495014127548,5.6725727805276505e-05
1989,MSS,2,332.5,1.0,5.144278606965174,13,0.0,2.575290120082004e-05,0.00012764995617742944
1990,MST,4,3143.0,1.0,3.5892758430071865,11,0.0,0.011358127491671862,7.03789365481672e-05
1991,MSU,1,532.0,0.0,4.0121614151464895,11,0.0,0.001000891967653628,5.243695601134176e-05
1992,MSY,42,155178.5,0.6747967479674797,3.3922056384742953,11,0.00020078330014303933,0.04987947145054622,0.001087728906599924
1993,MTF,2,108.0,1.0,6.42620232172471,14,0.0,1.127591422787416e-07,0.00017080632508093517
1994,MTJ,2,1566.0,1.0,4.135986733001658,12,0.0,0.002496483997022445,5.3408851753282625e-05
1995,MTL,2,352.0,0.0,4.233001658374793,11,0.0011055830260740212,0.00029022612256356995,0.00014871834963989028
1996,MTM,1,272.0,0.0,4.963792150359315,13,0.0,2.118968193156864e-05,7.783516102082293e-05
1997,MTO,1,228.0,0.0,4.789662797125484,13,0.0,7.297468852557986e-05,5.90484923787311e-05
1998,MTR,5,4300.5,0.7,4.26147042564953,12,7.76626984339734e-05,0.0006518532604636769,0.0001352336817054165
1999,MTS,3,871.0,1.0,4.01077943615257,11,0.0,0.0011158199922276148,6.043106117954588e-05
2000,MTT,2,2541.0,1.0,4.142343836373687,12,0.0,0.0009977587637580276,6.814228817734756e-05
2001,MTV,2,38.0,1.0,8.064953012714208,14,0.0,1.1132898746569224e-10,0.00016769583381632755
2002,MTY,30,72585.5,0.2689655172413793,3.6904367053620786,12,0.0014158663750838834,0.013708239388279376,0.0008467802538382246
2003,MUA,3,247.0,1.0,5.282476506357104,10,0.0,4.340610452774013e-06,0.00029524356516197515
2004,MUB,5,1466.0,0.4,4.0085682697623,11,0.0005540912994438751,0.001179120897501905,0.0001283876159854456
2005,MUC,143,351832.5,0.19639515414163303,2.9817578772802653,11,0.008585744426161805,0.13776386218161243,0.003665852589727741
2006,MUE,2,112.0,1.0,4.116915422885572,11,0.0,0.0006907810555132486,4.245993727510775e-05
2007,MUK,2,80.0,1.0,4.626036484245439,12,0.0,4.997283375826387e-05,6.497683396214149e-05
2008,MUN,3,7450.0,0.6666666666666666,4.268656716417911,12,1.645667943704991e-07,0.0007496723263032254,0.00018796114266048745
2009,MUR,3,608.0,0.6666666666666666,4.992537313432836,12,7.645802393319649e-08,2.0635586826952213e-05,0.00012256139491063632
2010,MUW,1,80.0,0.0,4.446102819237147,12,0.0,0.0007357706207666432,4.348136075581649e-05
2011,MUX,6,4226.0,0.4666666666666667,3.962962962962963,11,0.0005011509166272966,0.00248909584548774,0.00014225240262291438
